Probe Name,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29
CD79A,36.35,20,20,29.87,44.64,45.75,20,20,20,20,20,20,20,39.62,32.81,20,20,45.21,29.03,20,41.77,20,30.45,20,44.78,99.88,147.1,66.1,73.69
CD79B,20,20,20,25.6,30.63,20,20,24.74,20,20,20,20,20,20.72,20,20,20,24.91,20,20,20,20,20,20,20,40.12,37.85,74.72,40.57
CD80,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.03,57.64,20,25.67
CD81,132.36,175.09,125.16,136.54,196.93,220.44,143.6,116.17,145.63,154.97,103.14,124.07,149.44,132.87,99.04,199.28,125.64,153.15,122.15,164.37,147.12,158.83,169.96,165.98,136.63,207.44,345.81,313.26,288.14
CD82,65.25,75.26,64.23,58.67,235.45,257.87,131.04,72.07,85.48,20,99.77,20,20,42.06,67.47,39.07,20,95.03,49.06,103.61,34.51,20,39.66,117.37,67.74,212.57,75.7,86.22,97.7
CD83,20,20,20,20,24.51,20,20,20,20,20,20,20,20,20,20,20,20,20,20.02,20,20,20,21.95,20,20,52.93,48.17,20,34.77
CD86,59.65,62.97,49.4,46.94,60.39,85.26,66.42,27.97,52.24,83.27,31.39,41.78,64.2,31.08,33.42,72.29,73.16,47.05,51.06,67.79,46.01,20,69.4,99.59,45.93,106.71,131.61,155.19,128.34
CD8A,42.88,52.22,54.35,38.4,35.01,20,20,41.41,20,20,41.48,41.78,48.71,39.62,24.76,20,20,53.51,27.03,42.21,43.59,20,20,20,20,68.29,146.24,178.18,196.23
CD8B,41.94,46.08,55.99,48,39.39,20,20,53.24,20,20,30.27,43.05,44.28,70.7,38.38,20,20,59.05,41.05,70.35,70.23,20,22.66,23.71,32.15,64.88,96.35,89.09,173.87
CD9,316.91,251.89,191.03,151.48,282.71,415.92,240.54,275.9,275.42,115.65,752.23,649.48,467.14,484.55,443.81,509.92,190.85,447.46,534.64,209.78,283.34,325.23,225.19,173.1,218.14,1508.45,1346.26,1195.56,821.35
CD96,102.53,90.62,85.64,74.67,77.02,20,20,87.13,53.82,34.69,62.78,45.58,38.74,65.83,40.23,20,20,80.27,25.03,47.33,56.3,20,29.74,30.83,37.89,81.95,139.36,112.08,160.63
CD97,123.04,179.7,195.97,115.21,293.21,295.31,473.89,105.95,156.71,171.16,98.65,122.81,157.19,91.42,98.42,97.69,146.32,130.09,129.15,141.35,84.76,20,205.37,215.78,81.52,265.49,313.98,224.17,293.93
CD99,557.4,595.93,657.08,515.24,590.8,744.5,718.02,478.12,588.83,408.24,352.01,381.08,415.11,340.1,380.67,422,361.02,425.32,425.51,390.14,368.7,514.31,468.8,467.12,528.14,802.46,920.44,899.54,895.04
CDC42,888.29,909.26,676.85,552.58,747.48,960.78,829.31,964.31,1039.96,823.42,718.6,603.9,571.19,577.81,776.2,892.84,815.87,767.61,606.72,594.8,477.68,582.39,672.75,704.24,515.51,2451.76,2251.21,2103.72,1696.52
CDH5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CDKN1A,64.32,76.8,46.11,46.94,56.89,116.46,71.8,48.4,66.48,86.74,22.42,39.25,43.17,20,25.38,52.75,38.17,20,29.03,55,20,20,94.18,69.95,29.85,114.39,86.88,63.23,79.49
CEACAM1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.24,30.83,24.11,57.2,36.99,20,62.93
CEACAM3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CEACAM6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.34,20,57.48,20
CEACAM8,304.8,347.12,322.78,233.62,945.29,977.42,1326.54,484.58,277.01,340.01,224.21,43.05,77.49,60.34,256.26,162.16,415.09,425.32,204.24,227.69,62.36,242.03,97.02,462.38,168.78,1539.18,137.64,264.4,413.16
CEBPB,164.05,267.25,174.56,153.61,1693.64,873.44,920.86,370.02,278.59,764.44,119.95,56.97,88.56,40.84,155.36,146.53,326.03,440.08,134.16,133.03,53.28,20,176.33,302.33,97.59,670.99,172.91,206.92,221.07
CFB,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CFD,185.49,239.6,177.86,148.28,744.85,507.43,601.34,380.24,237.43,389.74,162.55,74.7,122.87,76.19,178.27,144.57,214.7,444.7,239.29,215.54,89.6,211.78,247.85,432.74,143.52,1239.54,449.04,344.87,486.02
CFH,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CFI,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CFL1,258.19,339.44,395.24,306.16,374.61,413.84,382.34,311.94,329.24,484.57,202.91,253.21,376.37,330.35,182.6,169.97,305.35,378.27,264.32,421.48,317.24,219.34,286.1,397.17,287.03,788.8,1040.87,867.93,1338.83
CFP,191.08,285.68,217.38,142.95,353.61,488.71,455.94,186.62,267.51,336.54,122.2,91.15,132.84,64.61,99.66,140.67,181.3,186.37,180.22,239.2,85.97,211.78,322.21,400.73,138.92,575.38,350.97,336.25,332.85
CHIT1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CHUK,27.03,20,20,21.34,42.01,20,20,29.04,20,20,22.42,20,23.25,23.77,22.28,20,34.99,23.99,20,31.98,28.46,20,31.16,34.38,29.85,52.07,58.5,20,67.07
CIITA,43.81,32.25,69.17,28.8,56.89,66.55,37.7,30.12,47.49,32.38,40.36,20,38.74,21.94,25.38,20,33.4,21.22,22.03,30.06,20.58,20,50.28,68.76,20,102.44,111.83,80.47,43.88
CISH,20,30.72,20,20,20,20,48.47,20,20,26.6,20,20,20,20,20,20,41.35,20,20,20,20,20,20,20,20,20,24.95,63.23,20
CLEC4A,102.53,47.61,55.99,61.87,224.94,139.33,481.07,124.24,117.13,343.48,58.29,20,32.1,21.33,36.52,20,47.71,56.28,27.03,52.44,20,20,46.74,120.93,24.11,443.06,56.77,103.46,86.11
CLEC4E,69.91,52.22,42.82,35.2,131.29,160.13,558.26,122.62,144.04,513.48,65.02,20,20,20,30.33,20,74.75,49.82,26.03,44.77,20,20,20,54.54,20,501.96,38.71,103.46,120.88
CLEC5A,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CLEC6A,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CLEC7A,126.77,317.93,240.44,85.34,180.3,596.85,538.51,149.51,413.13,281.03,106.5,58.24,88.56,29.26,80.47,134.81,124.05,69.2,239.29,176.52,35.72,20,212.45,330.78,66.59,705.99,220.22,258.65,206.17
CLU,355.13,499.17,609.33,474.71,593.43,1114.68,1152.42,453.92,530.27,500.76,402.46,463.37,550.16,455.3,429.57,609.55,671.14,680.88,661.79,560.91,469.21,385.74,400.82,316.55,419.07,892.95,1111.41,1215.67,1191.45
CMA1,20,20,57.64,77.87,20,20,20,20,20,20,20,20,24.35,20,20,20,44.53,20,22.03,29.42,23.01,20,20,20,20,20,22.37,57.48,24.01
CMKLR1,20,20,20,20,20,20,20,20,20,45.1,20,20,20,20,20,20,31.81,20,20,20,20,20,20,23.71,20,24.76,37.85,80.47,21.53
CR1,24.23,20,20,20,40.26,20,35.9,29.04,20,20,20,20,20,20,25.38,20,20,22.14,20,20,20,20,20,20,20,34.15,32.69,20,25.67
CR2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CRADD,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.03,20,20,23.18
CREB1,153.8,98.3,151.51,93.87,180.3,147.65,197.45,128.54,98.14,104.08,112.11,98.75,92.98,79.84,93.47,87.92,74.75,85.8,114.14,81.23,78.1,20,112.6,118.56,63.15,277.45,216.78,206.92,179.67
CRP,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CSF1,20,39.93,37.88,20,20,20,78.98,20,20,34.69,20,20,44.28,20,20,20,50.89,20,31.04,20,20,20,31.87,20,20,36.71,73.12,71.85,48.85
CSF1R,64.32,98.3,77.4,23.47,103.28,81.11,20,77.98,96.56,77.49,54.93,62.04,128.41,37.18,47.04,76.19,62.02,74.73,112.13,129.19,37.54,20,272.64,240.67,62,182.69,228.82,183.93,169.73
CSF2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CSF2RB,83.89,112.12,97.16,55.47,107.66,212.12,192.07,70.99,93.39,87.89,62.78,20,49.81,20,64.99,80.1,79.52,47.98,71.08,72.27,20,20,52.4,111.45,35.59,301.35,86.88,100.59,60.44
CSF3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CSF3R,172.44,281.07,250.32,107.74,631.94,794.41,1064.46,322.69,381.48,351.57,116.59,43.05,52.03,26.21,121.32,218.81,267.18,190.06,206.25,213.62,55.7,196.65,133.13,417.33,94.15,945.02,202.15,385.11,230.18
CTLA4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26.46,31.83,60.35,74.52
CTNNB1,51.27,20,36.23,33.07,91.03,45.75,35.9,94.12,39.57,40.48,36.99,35.45,37.64,33.52,29.71,20,20,85.8,33.04,31.34,26.64,20,27.62,40.31,25.26,87.93,106.67,20,94.39
CTSC,26.1,36.86,20,39.47,20,20,50.26,20,36.41,43.95,28.03,27.85,35.42,39.62,20,20,49.3,20.3,22.03,38.37,30.27,20,29.74,42.68,42.48,57.2,84.3,97.71,134.96
CTSG,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CTSS,743.82,1390,905.76,562.18,1071.32,2085.86,2500.5,938.5,1584.47,1644.53,496.63,388.67,428.39,246.24,534.18,785.39,1028.98,596.93,981.17,931.86,300.9,574.82,1335.58,1768.9,497.14,3283.24,1510.56,1557.67,1360.36
CUL9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.03,29.25,20,35.6
CX3CL1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CX3CR1,147.27,241.14,194.33,120.54,148.79,162.21,43.08,161.35,201.03,38.16,67.26,122.81,198.15,109.71,55.71,41.03,34.99,96.87,76.09,150.3,96.26,20,247.85,233.56,128.59,245.86,688.18,494.32,599.45
CXCL1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.03,20,20,20
CXCL10,20,497.63,464.41,20,20,301.54,217.2,20,337.16,654.58,20,253.21,281.17,20,20,771.71,394.41,20,793.95,34.54,20,20,546.7,188.51,20,20,540.22,1954.28,31.46
CXCL11,20,20,20,20,20,20,20,20,20,28.91,20,20,20,20,20,20,20,20,42.05,20,20,20,21.95,20,20,20,20,74.72,20
CXCL12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CXCL13,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CXCL2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,43.54,20,20,20
CXCL3,27.03,44.54,20,21.34,33.26,70.71,73.6,20,52.24,60.14,44.84,36.72,45.39,32.91,28.47,48.84,58.84,42.44,45.05,37.1,23.61,20,24.79,47.42,20,275.74,80.86,140.82,62.93
CXCL5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,57.48,20
CXCL6,20,33.79,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.02,20,20,20,20,40.31,20,27.32,20,20,20
CXCL9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CXCR1,119.31,173.56,80.69,57.6,329.97,515.75,421.84,186.62,269.09,307.63,103.14,25.32,25.46,20,79.23,91.82,149.5,131.93,63.08,103.61,20,20,22.66,152.94,31,402.94,55.05,97.71,96.05
CXCR2,139.82,204.28,120.22,77.87,466.52,680.04,649.81,281.28,300.75,361.98,137.89,31.65,35.42,20.72,162.17,160.2,230.61,181.75,122.15,147.74,27.85,20,39.66,173.1,64.3,948.44,106.67,227.04,150.69
CXCR3,20,20,20,20,20,20,20,20,20,20,20,20,22.14,32.91,20,20,20,21.22,20,31.34,27.24,20,20,20,32.15,26.46,47.31,57.48,88.59
CXCR4,188.28,173.56,97.16,105.61,189.93,162.21,245.92,294.19,196.28,182.73,123.32,54.44,78.59,73.14,147.32,84.01,128.82,240.8,129.15,101.69,72.65,151.27,84.27,46.24,60.85,541.23,433.55,293.14,463.67
CXCR6,20.51,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.37,20,21.53
CYBB,198.54,379.37,479.23,121.61,303.72,484.55,640.83,159.19,541.35,1037.38,150.22,267.13,438.36,155.42,164.03,283.29,602.75,208.51,453.54,592.88,165.28,279.85,743.56,916.46,173.37,643.67,967.76,640.89,511.69
CYSLTR1,20,20,20,20,20,20,43.08,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26.91,34.38,20,57.2,55.91,77.6,60.44
CYSLTR2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
DAXX,37.28,35.33,20,25.6,20,45.75,20,20,20,20,24.66,20,23.25,21.94,20,20,41.35,20,20,21.11,20,20,20,20,20,42.68,48.17,74.72,59.61
DDIT3,20,49.15,20,20,20.13,97.74,66.42,22.05,71.23,60.14,22.42,20,20,20,20,48.84,31.81,20,24.03,26.22,20,20,22.66,34.38,20,144.27,36.99,63.23,31.46
DDX58,25.17,403.94,357.36,20,50.77,1004.46,531.33,27.97,590.42,484.57,20,141.8,101.84,20,33.42,595.88,294.22,23.99,388.46,69.71,20,20,194.74,257.27,32.15,210,256.35,342,65.41
DEFA1,20,20,20,20,20,20,20,20,20,20,23.54,20,20,20,20,20,20,119.94,61.07,21.75,32.09,20,20,20,22.96,235.62,24.09,20,55.47
DEFB1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
DEFB103A,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
DEFB4A,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
DOCK9,25.17,20,20,20,25.38,20,20,24.74,20,20,20,20,20,21.94,20,20,20,28.6,26.03,20,26.03,20,20,20,20,33.29,38.71,20,28.98
DPP4,56.86,38.4,55.99,23.47,35.89,20,62.83,20,33.24,27.76,40.36,31.65,40.96,57.29,43.33,54.7,50.89,40.59,49.06,49.89,52.67,20,40.36,40.31,37.89,92.2,103.23,143.7,91.91
DUSP4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.7
EBI3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
EDNRB,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
EGR1,20,20,32.94,20,20,20,20,30.66,20,20,20,20,20,20,20,20,20,20,20,30.7,20,20,29.03,20,20,115.25,23.23,103.46,66.24
EGR2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,55.49,20,20,35.6
EIF2A,110.92,79.87,93.87,82.14,77.9,76.95,73.6,81.75,109.22,95.99,84.08,91.15,76.38,77.41,79.85,62.52,76.34,68.27,78.09,77.39,81.73,20,63.73,66.39,76.92,164.76,185.81,227.04,188.78
EIF2AK2,27.96,228.85,209.15,27.74,31.51,380.57,359.01,27.43,277.01,200.07,23.54,86.09,104.05,29.87,33.42,211,198.8,25.83,213.25,90.82,23.01,20,114.72,130.41,26.41,244.15,310.54,347.75,77
ELK1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,31.59,21.51,20,23.18
ENTPD1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32.44,31.83,20,25.67
EOMES,37.28,30.72,20,27.74,41.14,20,20,29.04,20,20,47.08,25.32,38.74,38.4,27.24,20,20,32.29,21.03,26.86,38.14,20,29.74,26.08,42.48,61.46,102.37,20,86.94
ETS1,340.22,236.53,331.01,275.22,386.87,210.04,161.55,356.57,191.53,97.15,221.97,268.4,353.12,312.06,211.07,117.22,146.32,357.97,177.21,259.03,297.87,226.9,186.95,173.1,254.88,400.37,604.74,410.97,630.09
EWSR1,205.06,199.67,174.56,132.28,180.3,176.77,183.09,146.29,156.71,154.97,173.76,177.25,191.5,163.96,116.37,123.08,141.54,135.62,123.15,143.26,145.3,20,133.13,135.16,137.78,405.5,436.14,342,376.73
F13A1,201.33,82.94,105.4,99.21,181.18,172.61,114.88,202.22,207.36,135.31,328.47,212.69,207,211.5,202.41,89.87,93.83,233.42,200.24,223.85,137.43,189.09,102.68,117.37,144.66,435.38,352.69,304.64,309.66
FADD,20.51,20,20,26.67,27.13,20,48.47,22.59,20,30.07,20,29.12,27.67,20,20,20,33.4,24.91,20.02,26.22,20,20,23.37,28.45,22.96,46.1,52.47,77.6,44.71
FAS,70.84,248.82,247.02,58.67,122.54,372.25,542.1,59.7,243.76,238.24,51.57,82.29,94.09,49.98,56.33,195.37,264,49.82,176.21,120.24,52.67,20,126.05,262.02,49.37,275.74,252.91,439.71,257.5
FASLG,25.17,32.25,20,20,20.13,20,20,20,20,20,20,26.59,26.57,20.11,20,20,20,20,20.02,26.22,20,20,20,20,22.96,38.42,89.46,77.6,80.31
FCAR,54.06,59.9,51.05,40.54,80.52,199.64,755.71,77.98,197.86,865.06,97.53,20,32.1,20,71.18,121.13,364.2,73.81,55.07,84.42,20,20,20.54,59.28,22.96,826.36,57.64,137.95,120.88
FCER1A,26.1,173.56,373.83,365.9,20,68.63,233.36,27.43,71.23,113.34,30.27,60.77,100.73,59.12,20,20,292.63,37.83,82.1,101.05,62.96,20,50.28,100.78,65.44,39.27,46.45,123.58,110.12
FCER1G,366.32,532.96,408.41,211.22,772.86,1229.05,656.99,490.49,1228.32,1081.32,447.3,354.49,453.85,209.67,434.52,582.2,871.53,441.01,448.54,998.37,182.84,438.68,751.35,1010.12,225.03,1324.05,986.68,764.47,950.51
FCGR1A,56.86,198.13,133.39,21.34,145.29,347.3,630.06,92.51,251.68,342.32,58.29,68.37,49.81,20,83.56,220.77,440.54,79.34,183.22,127.91,20,20,112.6,291.66,31,717.94,236.56,448.33,141.58
FCGR2A,311.32,466.92,431.47,177.08,799.12,1541,1734.01,290.42,614.16,781.79,182.73,67.1,119.55,44.49,263.07,238.35,424.63,278.63,306.37,442.58,58.12,151.27,227.32,805.02,127.44,1479.42,296.78,373.61,289.79
FCGR2B,27.03,46.08,20,26.67,41.14,70.71,20,31.19,47.49,45.1,20,20,44.28,20,20,48.84,36.58,30.45,40.05,37.73,20,20,77.9,103.15,20,89.64,80.86,100.59,38.91
FCGR3,39.15,115.19,60.93,27.74,175.93,155.97,37.7,69.38,128.21,109.87,40.36,91.15,146.12,60.95,68.09,93.78,74.75,58.12,63.08,73.55,36.93,20,257.06,262.02,73.48,95.61,343.23,192.55,187.12
FCGRT,62.45,52.22,41.17,48,77.9,101.9,134.63,55.93,34.82,48.57,44.84,20,20,20,47.04,44.94,55.66,48.9,44.05,42.85,31.48,20,45.32,46.24,68.89,123.78,37.85,20,49.68
FEZ1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FKBP5,116.51,102.91,151.51,87.47,156.67,172.61,515.18,72.07,175.7,476.48,67.26,91.15,91.88,65.83,89.75,84.01,147.91,97.8,119.14,166.29,94.45,20,76.48,158.87,59.7,230.49,190.11,155.19,258.33
FLT1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FLT3LG,72.7,81.4,75.75,50.14,48.14,72.79,70.01,52.17,50.65,26.6,71.75,41.78,63.1,70.7,65.61,48.84,58.84,68.27,73.09,83.78,95.05,20,76.48,68.76,55.11,125.49,190.97,160.94,170.56
FN1,46.61,20,49.4,39.47,64.77,116.46,53.85,88.74,106.05,108.71,73.99,59.5,60.88,70.7,45.19,44.94,39.76,58.12,28.03,133.03,67.2,20,70.82,73.51,53.96,368.79,142.8,132.2,269.92
FOS,392.42,184.31,447.94,186.68,984.67,1016.93,741.35,1027.24,732.88,477.63,195.06,55.71,185.97,57.9,248.83,302.82,132,389.34,242.29,541.08,59.33,431.12,374.61,123.3,172.22,4352.9,210.76,534.55,1030
FOXJ1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FOXP3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FPR2,20,20,20,20,43.76,56.15,41.29,20,68.06,230.14,20,20,20,20,21.66,20,68.39,20,22.03,44.13,20,20,23.37,66.39,20,75.12,39.57,20,39.74
FUT5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FXYD2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FYN,249.8,195.06,214.09,162.15,228.44,143.49,138.22,193.62,132.96,106.4,191.7,170.92,219.18,209.67,143.6,115.27,132,229.73,137.16,184.2,176.18,181.52,161.46,150.57,179.11,280.86,390.54,250.03,433.03
GATA3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
GBP1,89.48,1675.68,2058.54,179.22,494.52,3348.19,5413.85,76.91,2515.21,2572.04,50.45,560.86,772.66,62.17,76.75,1752.47,1867.11,72.89,1841.2,495.03,82.94,20,1264.06,1647.97,140.07,246.71,1360.02,2187.06,365.96
GFI1,20,20,20,20,20,20,20,20,20,20,20,20,24.35,20,20,20,20,20,20,20,20,20,20,23.71,20,20,28.39,20,35.6
GNAQ,138.88,110.59,97.16,106.68,203.06,180.93,213.61,134.46,107.64,89.05,116.59,78.49,87.45,59.12,133.08,138.71,122.46,124.55,124.15,90.18,67.2,166.4,86.4,111.45,74.63,313.3,190.11,181.06,152.35
GNAS,644.08,517.6,438.06,537.65,680.08,644.68,509.79,771.23,482.78,314.57,693.93,507.68,389.65,525.39,662.93,748.27,410.32,778.68,726.87,401.01,590.29,605.08,492.88,347.38,531.58,1312.96,1976.8,1218.55,1410.87
GNB1,315.05,376.3,446.29,312.56,589.05,426.32,588.77,487.27,398.89,442.94,257.84,232.95,335.41,224.3,268.64,242.26,321.26,331.22,276.33,310.83,230.06,393.3,298.13,409.03,290.48,942.46,687.32,557.54,640.85
GNGT1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
GNLY,20,20,20,146.15,120.79,72.79,150.78,20,20,20,23.54,20,80.81,144.45,20,20,46.12,23.07,20,157.97,113.82,20,48.15,71.14,173.37,39.27,59.36,109.21,873.51
GP1BB,145.41,129.02,167.98,98.14,225.82,336.9,233.36,116.71,121.88,101.77,158.07,197.5,174.9,140.79,168.98,322.36,136.77,210.35,257.31,156.06,164.68,173.96,152.25,97.22,182.55,278.3,369.04,468.45,361
GPI,163.12,156.66,164.68,168.55,201.31,145.57,140.01,171.03,113.97,158.44,100.9,115.21,148.33,151.16,75.52,42.98,95.42,175.3,101.12,159.89,144.09,20,118.97,118.56,125.15,256.1,332.05,336.25,476.91
GPR183,68.04,44.54,54.35,62.94,58.64,68.63,39.49,52.17,20,26.6,57.17,43.05,45.39,69.48,52.61,20,20,73.81,38.05,51.81,63.57,20,47.45,32.01,62,227.08,173.77,169.56,198.71
GRB2,96.94,110.59,107.04,83.21,127.79,162.21,170.53,107.56,107.64,117.96,84.08,62.04,107.38,76.19,55.71,82.06,117.69,91.34,96.11,106.17,71.44,20,106.93,133.97,81.52,300.49,246.89,181.06,246.74
GTF3C1,20,20,20,20,20,20,20,20,20,20,20,20,23.25,20,20,20,20,20,20,20,20,20,20,20,20,32.44,28.39,20,24.01
GZMA,102.53,181.24,177.86,284.82,225.82,149.73,204.63,65.61,115.55,215.11,58.29,129.14,203.68,189.55,44.57,39.07,84.29,62.74,41.05,194.43,118.66,20,97.73,193.25,168.78,61.46,127.31,229.91,1077.19
GZMB,2463.55,3652.39,2908.3,2649.82,2343.96,2175.28,913.68,1264.95,1929.54,2070.12,1191.68,2197.85,2498.41,2121.06,1054.12,961.22,858.81,1406.05,1061.27,1872.67,1598.33,1134.52,1608.93,1570.91,1662.49,1862.73,3927.8,3589.54,5988.74
GZMH,1381.38,1875.35,1655.06,1318.51,1235.87,929.59,411.07,1007.34,1506.91,788.73,724.2,1491.4,1577.42,1166.58,526.13,410.28,252.87,977.04,682.82,1064.89,1040.73,605.08,880.95,829.91,1018.39,1071.37,2386.27,2129.59,3467.56
GZMK,205.99,167.41,115.28,167.48,208.31,114.38,61.03,176.41,126.63,39.32,227.57,279.8,303.31,469.31,138.65,20,68.39,333.06,166.2,308.91,382.02,158.83,155.79,179.02,293.92,656.48,1276.58,1089.22,2162.67
GZMM,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,43.87,20,39.74
HAMP,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
HAVCR2,20,20,20,20,20,20,20,20,20,24.29,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.23,20,20.7
HDAC4,31.69,46.08,39.52,30.94,38.51,68.63,145.4,31.19,31.66,46.26,26.91,20,20,20,20,20,60.43,20,31.04,33.9,20,20,30.45,50.98,20,110.98,55.05,74.72,45.54
HFE,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
HIF1A,66.18,76.8,90.58,76.81,182.06,133.1,152.58,94.66,112.39,341.17,47.08,43.05,65.31,40.23,55.09,46.89,89.06,81.19,47.06,109.37,47.83,20,50.99,131.6,49.37,313.3,113.55,106.34,165.59
HLA-A,789.49,1251.77,1223.59,645.39,196.93,328.58,290.8,110.79,188.36,233.61,274.66,213.96,278.95,211.5,121.94,246.17,306.94,232.5,259.31,257.11,124.11,20,223.78,333.15,156.15,945.02,637.43,747.22,760.91
HLA-B,1407.47,2589.54,2144.17,1231.04,2083.13,3350.27,3310.06,1230,1894.72,2169.58,586.31,533,619.9,400.44,757.63,1502.4,1623.78,729.78,927.11,824.41,417.14,809.29,1402.86,1943.18,827.8,3227.76,2222.83,2187.06,2537.74
