Probe Name,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29
TNFSF13,48.47,61.44,70.81,27.74,75.27,76.95,66.42,44.1,66.48,142.25,23.54,29.12,53.13,20,24.76,20,73.16,47.05,43.05,72.91,20,20,77.19,105.52,27.56,95.61,72.26,20,59.61
TNFSF13B,47.54,589.79,373.83,49.07,126.04,1023.17,698.27,48.94,650.57,510.01,43.72,130.4,133.94,28.04,46.42,300.87,353.06,38.75,349.42,221.29,26.64,20,258.48,443.41,47.07,325.25,400.87,408.1,163.94
TNFSF14,20,20,20,20,20,20,35.9,20,20,20,20,20,20,20,20,20,20,20,20,21.75,20,20,20,20,20,29.88,20.65,20,34.77
TNFSF15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TNFSF18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TNFSF4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.61,22.37,20,20
TNFSF8,31.69,30.72,20,20,65.64,93.58,73.6,50.56,44.32,37.01,20,20,20,20,22.28,20,39.76,33.21,37.04,27.5,20,20,33.28,47.42,24.11,100.73,71.4,57.48,55.47
TOLLIP,20,20,20,20,23.63,47.83,59.24,20.44,20,49.73,20,20,20,20,20,20,68.39,24.91,20,22.39,20,20,20,28.45,20,41.83,30.97,86.22,21.53
TP53,24.23,20,20,20,20.13,20,20,20,20,20,20,20,22.14,20,20,20,20,20,20,20,20,20,20,20,20,34.15,44.73,20,22.36
TPSAB1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TRADD,20,20,20,20,21.88,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.76,36.99,20,38.91
TRAF1,24.23,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27.27,20,46.1,44.73,94.84,57.96
TRAF2,20,20,20,20,24.51,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.76,33.55,71.85,24.84
TRAF3,20.51,20,20,22.4,33.26,20,20,31.73,20,20,29.15,20,28.78,22.55,24.14,20,20,34.14,22.03,27.5,29.06,20,20.54,24.9,20,58.05,49.89,20,43.88
TRAF4,23.3,30.72,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26.46,30.97,86.22,31.46
TRAF5,25.17,20,39.52,27.74,42.01,20,20,29.04,20,20,25.78,20,32.1,26.82,25.38,20,20,47.98,20,29.42,26.64,20,21.24,20,24.11,31.59,55.05,20,47.19
TRAF6,20,20,20,20,20,20,20,21.51,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.03,43.87,20,52.16
TREM2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TSLP,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TWIST2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TYK2,63.38,67.58,67.52,58.67,98.03,70.71,145.4,90.35,63.32,61.29,45.96,30.38,53.13,49.37,47.66,42.98,58.84,67.35,44.05,62.04,45.41,20,52.4,88.92,45.93,185.25,128.17,97.71,136.62
TYROBP,688.82,688.09,620.85,592.05,1262.13,1100.12,1042.92,783.6,831.02,1310.31,493.27,367.15,474.89,287.07,519.94,498.19,667.96,663.35,518.62,693.94,331.17,673.15,814.38,1243.68,547.66,1989.07,720.01,684,903.32
UBE2L3,209.72,213.49,151.51,116.28,156.67,201.72,258.49,186.09,254.84,226.67,197.31,215.23,149.44,151.16,175.17,228.58,213.11,155.92,159.19,120.24,131.98,173.96,184.12,175.47,118.26,500.26,441.3,586.28,375.9
USP9Y,192.95,105.98,115.28,129.08,172.43,101.9,123.86,226.96,132.96,92.52,146.86,113.94,140.58,181.63,209.83,103.55,135.18,185.44,155.19,149.66,148.93,20,140.92,117.37,111.37,579.65,655.49,405.22,529.08
VCAM1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
VTN,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
XBP1,60.59,72.19,72.46,177.08,85.78,110.22,123.86,66.15,88.64,126.06,53.81,41.78,81.91,206.01,42.71,62.52,93.83,90.42,66.08,121.52,159.83,20,65.15,96.03,173.37,127.2,168.6,181.06,328.71
XCL1,25.17,20,20,20,20,20,20,20,20,20,20,20,20,20.11,20,20,20,22.14,20,20,20,20,20,20,20,20,29.25,20,32.29
XCR1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ZAP70,45.67,35.33,41.17,46.94,76.15,20,20,55.93,52.24,26.6,24.66,53.17,56.45,31.69,22.28,20,20,49.82,33.04,47.97,38.14,20,36.12,24.9,36.74,25.61,36.99,20,61.27
ZBTB16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ZEB1,20,20,20,20,24.51,20,20,21.51,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,31.59,26.67,20,28.98
ZNF205,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
